pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2014-04-01,36512,36512,36512,36512,36512
2014-04-02,37709,37709,37709,37709,37709
2014-04-03,41881,41881,41881,41881,41881
2014-04-04,51783,51783,51783,51783,51783
2014-04-05,57164,57164,57164,57164,57164
2014-04-06,47171,47171,47171,47171,47171
2014-04-07,39271,39271,39271,39271,39271
2014-04-08,35554,35554,35554,35554,35554
2014-04-09,38788,38788,38788,38788,38788
2014-04-10,41799,41799,41799,41799,41799
2014-04-11,48702,48702,48702,48702,48702
2014-04-12,57320,57320,57320,57320,57320
2014-04-13,46006,46006,46006,46006,46006
2014-04-14,34652,34652,34652,34652,34652
2014-04-15,38835,38835,38835,38835,38835
2014-04-16,38384,38384,38384,38384,38384
2014-04-17,42568,42568,42568,42568,42568
2014-04-18,46019,46019,46019,46019,46019
2014-04-19,52701,52701,52701,52701,52701
2014-04-20,46248,46248,46248,46248,46248
2014-04-21,32683,32683,32683,32683,32683
2014-04-22,34024,34024,34024,34024,34024
2014-04-23,40064,40064,40064,40064,40064
2014-04-24,41826,41826,41826,41826,41826
2014-04-25,50083,50083,50083,50083,50083
2014-04-26,60442,60442,60442,60442,60442
2014-04-27,48392,48392,48392,48392,48392
2014-04-28,34824,34824,34824,34824,34824
2014-04-29,39995,39995,39995,39995,39995
2014-04-30,47755,47755,47755,47755,47755
2014-05-01,44181,44181,44181,44181,44181
2014-05-02,54523,54523,54523,54523,54523
2014-05-03,62233,62233,62233,62233,62233
2014-05-04,48157,48157,48157,48157,48157
2014-05-05,36845,36845,36845,36845,36845
2014-05-06,37849,37849,37849,37849,37849
2014-05-07,39618,39618,39618,39618,39618
2014-05-08,43893,43893,43893,43893,43893
2014-05-09,51142,51142,51142,51142,51142
2014-05-10,58686,58686,58686,58686,58686
2014-05-11,51600,51600,51600,51600,51600
2014-05-12,36439,36439,36439,36439,36439
2014-05-13,38013,38013,38013,38013,38013
2014-05-14,40955,40955,40955,40955,40955
2014-05-15,43662,43662,43662,43662,43662
2014-05-16,53685,53685,53685,53685,53685
2014-05-17,57485,57485,57485,57485,57485
2014-05-18,49635,49635,49635,49635,49635
2014-05-19,36476,36476,36476,36476,36476
2014-05-20,37218,37218,37218,37218,37218
2014-05-21,40111,40111,40111,40111,40111
2014-05-22,43652,43652,43652,43652,43652
2014-05-23,52898,52898,52898,52898,52898
2014-05-24,52690,52690,52690,52690,52690
2014-05-25,46302,46302,46302,46302,46302
2014-05-26,36009,36009,36009,36009,36009
2014-05-27,34970,34970,34970,34970,34970
2014-05-28,39323,39323,39323,39323,39323
2014-05-29,42221,42221,42221,42221,42221
2014-05-30,51106,51106,51106,51106,51106
2014-05-31,59926,59926,59926,59926,59926
2014-06-01,48404,48404,48404,48404,48404
2014-06-02,35308,35308,35308,35308,35308
2014-06-03,39451,39451,39451,39451,39451
2014-06-04,40927,40927,40927,40927,40927
2014-06-05,43049,43049,43049,43049,43049
2014-06-06,50037,50037,50037,50037,50037
2014-06-07,58886,58886,58886,58886,58886
2014-06-08,49373,49373,49373,49373,49373
2014-06-09,36933,36933,36933,36933,36933
2014-06-10,36966,36966,36966,36966,36966
2014-06-11,40021,40021,40021,40021,40021
2014-06-12,44133,44133,44133,44133,44133
2014-06-13,52473,52473,52473,52473,52473
2014-06-14,58733,58733,58733,58733,58733
2014-06-15,49397,49397,49397,49397,49397
2014-06-16,36447,36447,36447,36447,36447
2014-06-17,37818,37818,37818,37818,37818
2014-06-18,40022,40022,40022,40022,40022
2014-06-19,43460,43460,43460,43460,43460
2014-06-20,49611,49611,49611,49611,49611
2014-06-21,56067,56067,56067,56067,56067
2014-06-22,47441,47441,47441,47441,47441
2014-06-23,35597,35597,35597,35597,35597
2014-06-24,36333,36333,36333,36333,36333
2014-06-25,41042,41042,41042,41042,41042
2014-06-26,43800,43800,43800,43800,43800
2014-06-27,48179,48179,48179,48179,48179
2014-06-28,56709,56709,56709,56709,56709
2014-06-29,46128,46128,46128,46128,46128
2014-06-30,35014,35014,35014,35014,35014
2014-07-01,38222,38222,38222,38222,38222
2014-07-02,42524,42524,42524,42524,42524
2014-07-03,46097,46097,46097,46097,46097
2014-07-04,41591,41591,41591,41591,41591
2014-07-05,46927,46927,46927,46927,46927
2014-07-06,40403,40403,40403,40403,40403
2014-07-07,34163,34163,34163,34163,34163
2014-07-08,35807,35807,35807,35807,35807
2014-07-09,36545,36545,36545,36545,36545
2014-07-10,39110,39110,39110,39110,39110
2014-07-11,45439,45439,45439,45439,45439
2014-07-12,54446,54446,54446,54446,54446
2014-07-13,46126,46126,46126,46126,46126
2014-07-14,37208,37208,37208,37208,37208
2014-07-15,38316,38316,38316,38316,38316
2014-07-16,36498,36498,36498,36498,36498
2014-07-17,39778,39778,39778,39778,39778
2014-07-18,46195,46195,46195,46195,46195
2014-07-19,52743,52743,52743,52743,52743
2014-07-20,45403,45403,45403,45403,45403
2014-07-21,33091,33091,33091,33091,33091
2014-07-22,35244,35244,35244,35244,35244
2014-07-23,38895,38895,38895,38895,38895
2014-07-24,38746,38746,38746,38746,38746
2014-07-25,44485,44485,44485,44485,44485
2014-07-26,53060,53060,53060,53060,53060
2014-07-27,46253,46253,46253,46253,46253
2014-07-28,29222,29222,29222,29222,29222
2014-07-29,32981,32981,32981,32981,32981
2014-07-30,36912,36912,36912,36912,36912
2014-07-31,41543,41543,41543,41543,41543
2014-08-01,50016,50016,50016,50016,50016
2014-08-02,56690,56690,56690,56690,56690
2014-08-03,47490,47490,47490,47490,47490
2014-08-04,34874,34874,34874,34874,34874
2014-08-05,36032,36032,36032,36032,36032
2014-08-06,38179,38179,38179,38179,38179
2014-08-07,41156,41156,41156,41156,41156
2014-08-08,47051,47051,47051,47051,47051
2014-08-09,55995,55995,55995,55995,55995
2014-08-10,46793,46793,46793,46793,46793
2014-08-11,33849,33849,33849,33849,33849
2014-08-12,36215,36215,36215,36215,36215
2014-08-13,38164,38164,38164,38164,38164
2014-08-14,39879,39879,39879,39879,39879
2014-08-15,47700,47700,47700,47700,47700
2014-08-16,56688,56688,56688,56688,56688
2014-08-17,47235,47235,47235,47235,47235
2014-08-18,34336,34336,34336,34336,34336
2014-08-19,33753,33753,33753,33753,33753
2014-08-20,36767,36767,36767,36767,36767
2014-08-21,41177,41177,41177,41177,41177
2014-08-22,47207,47207,47207,47207,47207
2014-08-23,53662,53662,53662,53662,53662
2014-08-24,46051,46051,46051,46051,46051
2014-08-25,34144,34144,34144,34144,34144
2014-08-26,34261,34261,34261,34261,34261
2014-08-27,37955,37955,37955,37955,37955
2014-08-28,40645,40645,40645,40645,40645
2014-08-29,48675,48675,48675,48675,48675
2014-08-30,53895,53895,53895,53895,53895
2014-08-31,48407,48407,48407,48407,48407
2014-09-01,35949,35949,35949,35949,35949
2014-09-02,37020,37020,37020,37020,37020
2014-09-03,39511,39511,39511,39511,39511
2014-09-04,43408,43408,43408,43408,43408
2014-09-05,50318,50318,50318,50318,50318
2014-09-06,59539,59539,59539,59539,59539
2014-09-07,48649,48649,48649,48649,48649
2014-09-08,37058,37058,37058,37058,37058
2014-09-09,37740,37740,37740,37740,37740
2014-09-10,39791,39791,39791,39791,39791
2014-09-11,42897,42897,42897,42897,42897
2014-09-12,51488,51488,51488,51488,51488
2014-09-13,64251,64251,64251,64251,64251
2014-09-14,51732,51732,51732,51732,51732
2014-09-15,37454,37454,37454,37454,37454
2014-09-16,39691,39691,39691,39691,39691
2014-09-17,39602,39602,39602,39602,39602
2014-09-18,43947,43947,43947,43947,43947
2014-09-19,52171,52171,52171,52171,52171
2014-09-20,60289,60289,60289,60289,60289
2014-09-21,50583,50583,50583,50583,50583
2014-09-22,37175,37175,37175,37175,37175
2014-09-23,38541,38541,38541,38541,38541
2014-09-24,40411,40411,40411,40411,40411
2014-09-25,43302,43302,43302,43302,43302
2014-09-26,49728,49728,49728,49728,49728
2014-09-27,61333,61333,61333,61333,61333
2014-09-28,51884,51884,51884,51884,51884
2014-09-29,37704,37704,37704,37704,37704
2014-09-30,38727,38727,38727,38727,38727
2014-10-01,0,0,0,0,0
2014-10-02,0,0,0,0,0
2014-10-03,0,0,0,0,0
2014-10-04,0,0,0,0,0
2014-10-05,0,0,0,0,0
2014-10-06,0,0,0,0,0
2014-10-07,0,0,0,0,0
2014-10-08,0,0,0,0,0
2014-10-09,0,0,0,0,0
2014-10-10,0,0,0,0,0
2014-10-11,0,0,0,0,0
2014-10-12,0,0,0,0,0
2014-10-13,0,0,0,0,0
2014-10-14,0,0,0,0,0
2014-10-15,0,0,0,0,0
2014-10-16,0,0,0,0,0
2014-10-17,0,0,0,0,0
2014-10-18,0,0,0,0,0
2014-10-19,0,0,0,0,0
2014-10-20,0,0,0,0,0
2014-10-21,0,0,0,0,0
2014-10-22,0,0,0,0,0
2014-10-23,0,0,0,0,0
2014-10-24,0,0,0,0,0
2014-10-25,0,0,0,0,0
2014-10-26,0,0,0,0,0
2014-10-27,0,0,0,0,0
2014-10-28,0,0,0,0,0
2014-10-29,0,0,0,0,0
2014-10-30,0,0,0,0,0
2014-10-31,0,0,0,0,0
2014-11-01,0,0,0,0,0
2014-11-02,0,0,0,0,0
2014-11-03,0,0,0,0,0
2014-11-04,0,0,0,0,0
2014-11-05,0,0,0,0,0
2014-11-06,0,0,0,0,0
2014-11-07,0,0,0,0,0
2014-11-08,0,0,0,0,0
2014-11-09,0,0,0,0,0
2014-11-10,0,0,0,0,0
2014-11-11,0,0,0,0,0
2014-11-12,0,0,0,0,0
2014-11-13,0,0,0,0,0
2014-11-14,0,0,0,0,0
2014-11-15,0,0,0,0,0
2014-11-16,0,0,0,0,0
2014-11-17,0,0,0,0,0
2014-11-18,0,0,0,0,0
2014-11-19,0,0,0,0,0
2014-11-20,0,0,0,0,0
2014-11-21,0,0,0,0,0
2014-11-22,0,0,0,0,0
2014-11-23,0,0,0,0,0
2014-11-24,0,0,0,0,0
2014-11-25,0,0,0,0,0
2014-11-26,0,0,0,0,0
2014-11-27,0,0,0,0,0
2014-11-28,0,0,0,0,0
2014-11-29,0,0,0,0,0
2014-11-30,0,0,0,0,0
2014-12-01,0,0,0,0,0
2014-12-02,0,0,0,0,0
2014-12-03,0,0,0,0,0
2014-12-04,0,0,0,0,0
2014-12-05,0,0,0,0,0
2014-12-06,0,0,0,0,0
2014-12-07,0,0,0,0,0
2014-12-08,0,0,0,0,0
2014-12-09,0,0,0,0,0
2014-12-10,0,0,0,0,0
2014-12-11,0,0,0,0,0
2014-12-12,0,0,0,0,0
2014-12-13,0,0,0,0,0
2014-12-14,0,0,0,0,0
2014-12-15,0,0,0,0,0
2014-12-16,0,0,0,0,0
2014-12-17,0,0,0,0,0
2014-12-18,0,0,0,0,0
2014-12-19,0,0,0,0,0
2014-12-20,0,0,0,0,0
2014-12-21,0,0,0,0,0
2014-12-22,0,0,0,0,0
2014-12-23,0,0,0,0,0
2014-12-24,0,0,0,0,0
2014-12-25,0,0,0,0,0
2014-12-26,0,0,0,0,0
2014-12-27,0,0,0,0,0
2014-12-28,0,0,0,0,0
2014-12-29,0,0,0,0,0
2014-12-30,0,0,0,0,0
2014-12-31,0,0,0,0,0
2015-01-01,62943,62943,62943,62943,62943
2015-01-02,43410,43410,43410,43410,43410
2015-01-03,53866,53866,53866,53866,53866
2015-01-04,41602,41602,41602,41602,41602
2015-01-05,41923,41923,41923,41923,41923
2015-01-06,40646,40646,40646,40646,40646
2015-01-07,47802,47802,47802,47802,47802
2015-01-08,47791,47791,47791,47791,47791
2015-01-09,53591,53591,53591,53591,53591
2015-01-10,64340,64340,64340,64340,64340
2015-01-11,50359,50359,50359,50359,50359
2015-01-12,40867,40867,40867,40867,40867
2015-01-13,45229,45229,45229,45229,45229
2015-01-14,44394,44394,44394,44394,44394
